,mean,range_min,range_max,avg_diff_per_class,areas_km²,percentages,date,type_uh
8.0,19.72,18.26,36.48,2.7300000000000004,56.8611,6.601300428704722,2018-08-11,uh_wavg
1.0,3.44,-6.18,5.04,,60.6744,7.044050391667006,2018-08-27,uh_wavg
2.0,6.44,5.04,7.61,3.0000000000000004,74.7954,8.683440902009586,2018-08-27,uh_wavg
3.0,8.67,7.61,9.54,2.2299999999999995,107.0577,12.42896235671006,2018-08-27,uh_wavg
4.0,10.45,9.54,11.26,1.7799999999999994,153.8307,17.85911690244007,2018-08-27,uh_wavg
5.0,12.15,11.26,13.05,1.700000000000001,203.61419999999998,23.638778220451528,2018-08-27,uh_wavg
6.0,13.88,13.05,14.92,1.7300000000000004,146.45159999999998,17.00243348661478,2018-08-27,uh_wavg
7.0,15.84,14.92,17.04,1.959999999999999,82.7334,9.605010328473675,2018-08-27,uh_wavg
8.0,18.35,17.04,33.85,2.5100000000000016,32.1993,3.7382074116332995,2018-08-27,uh_wavg
1.0,1.4,-4.64,2.62,,34.9443,4.278414869714791,2018-09-03,uh_wavg
2.0,3.92,2.62,5.11,2.52,53.1945,6.512883067826324,2018-09-03,uh_wavg
3.0,6.35,5.11,7.32,2.4299999999999997,83.8449,10.265573123792711,2018-09-03,uh_wavg
4.0,8.28,7.32,9.07,1.9299999999999997,133.2396,16.313226645686157,2018-09-03,uh_wavg
5.0,9.91,9.07,10.73,1.6300000000000008,185.01749999999998,22.65266790742571,2018-09-03,uh_wavg
6.0,11.61,10.73,12.61,1.6999999999999993,162.1053,19.84740647200193,2018-09-03,uh_wavg
7.0,13.63,12.61,14.91,2.0200000000000014,116.46719999999999,14.259693292297925,2018-09-03,uh_wavg
8.0,16.24,14.91,32.59,2.6099999999999977,47.9448,5.8701346212544445,2018-09-03,uh_wavg
1.0,-0.07,-4.83,1.3,,55.930499999999995,6.792553057769219,2018-09-19,uh_wavg
2.0,2.55,1.3,3.48,2.6199999999999997,74.28869999999999,9.022088777012543,2018-09-19,uh_wavg
3.0,4.34,3.48,5.03,1.79,121.8924,14.803382668469418,2018-09-19,uh_wavg
4.0,5.69,5.03,6.31,1.3500000000000005,149.85,18.198730133052937,2018-09-19,uh_wavg
5.0,6.93,6.31,7.6,1.2399999999999993,151.8777,18.44498682368218,2018-09-19,uh_wavg
6.0,8.32,7.6,9.15,1.3900000000000006,131.3244,15.948864300868184,2018-09-19,uh_wavg
7.0,10.01,9.15,11.09,1.6899999999999995,100.77839999999999,12.239165197469884,2018-09-19,uh_wavg
8.0,12.13,11.09,24.74,2.120000000000001,37.467,4.550229041675639,2018-09-19,uh_wavg
1.0,2.22,-3.69,3.79,,45.5769,5.291353029929408,2018-09-28,uh_wavg
2.0,5.2,3.79,6.29,2.98,74.0556,8.597651956215545,2018-09-28,uh_wavg
3.0,7.27,6.29,8.0,2.0699999999999994,121.92569999999999,14.15523921375223,2018-09-28,uh_wavg
4.0,8.7,8.0,9.33,1.4299999999999997,171.0684,19.860571839356687,2018-09-28,uh_wavg
5.0,9.99,9.33,10.68,1.290000000000001,172.3221,20.006122969284846,2018-09-28,uh_wavg
6.0,11.34,10.68,12.09,1.3499999999999996,136.7523,15.876566790519217,2018-09-28,uh_wavg
7.0,12.82,12.09,13.76,1.4800000000000004,95.7105,11.111726426568252,2018-09-28,uh_wavg
8.0,14.88,13.76,26.88,2.0600000000000005,43.9353,5.100767774373806,2018-09-28,uh_wavg
1.0,-2.13,-5.42,-0.46,,8.9559,1.1196107971390348,2018-10-05,uh_wavg
2.0,1.03,-0.46,1.92,3.16,56.421,7.053401755868364,2018-10-05,uh_wavg
3.0,2.76,1.92,3.36,1.7299999999999998,87.7599,10.971195702926783,2018-10-05,uh_wavg
4.0,3.94,3.37,4.41,1.1800000000000002,133.0704,16.63563199897389,2018-10-05,uh_wavg
5.0,4.93,4.41,5.45,0.9899999999999998,167.7861,20.975572434914394,2018-10-05,uh_wavg
6.0,6.01,5.45,6.59,1.08,167.2182,20.90457711655496,2018-10-05,uh_wavg
7.0,7.2,6.59,8.06,1.1900000000000004,134.3952,16.80125023768242,2018-10-05,uh_wavg
8.0,8.92,8.06,16.24,1.7199999999999998,44.3052,5.538759955940147,2018-10-05,uh_wavg
1.0,-2.31,-6.93,-0.76,,8.3718,1.0478033527003858,2019-02-26,uh_wavg
2.0,0.78,-0.76,1.3,3.09,82.4679,10.321572673757155,2019-02-26,uh_wavg
3.0,1.8,1.3,2.2,1.02,187.1901,23.42846393515379,2019-02-26,uh_wavg
4.0,2.63,2.2,3.09,0.8299999999999998,253.4733,31.72438108411939,2019-02-26,uh_wavg
5.0,3.52,3.09,4.09,0.8900000000000001,162.3033,20.313665148992634,2019-02-26,uh_wavg
